powerCurve_table
(
// Uref,Ct,Cp
(4.0,0.9126726099033362,0.4532499420585651)
(5.0,0.8687903370768008,0.4933995547191924)
(6.0,0.7800469905014111,0.4912461581129812)
(7.0,0.7726336604294938,0.4899536862714288)
(8.0,0.7702530978349217,0.4895791271379793)
(9.0,0.7675751963849531,0.4891382449365905)
(10.0,0.764630155765929,0.48862357237312426)
(11.0,0.7460760574610608,0.4843993765394049)
(12.0,0.5327700556243904,0.4013036072639607)
(13.0,0.3921680691153145,0.3157278495306418)
(14.0,0.3048141858493565,0.2527758569157412)
(15.0,0.24439151289556107,0.20547022779176713)
(16.0,0.20039542167168448,0.16928562086371082)
(17.0,0.1673223774804871,0.1411143058147779)
(18.0,0.14186054848190674,0.11886022629346842)
(19.0,0.12189240591443229,0.1011893180181898)
(20.0,0.10558063842098647,0.08662837993876549)
(21.0,0.09248896984799376,0.07485556771275063)
(22.0,0.08176302128348775,0.06518027703193373)
(23.0,0.07265310356753815,0.056953354560288764)
(24.0,0.06506351706348608,0.050114019857823155)
(25.0,0.058637926679061946,0.04434413096148738)
);
